indicator,County,Year,subgroup1,subgroup_cat1,subgroup2,subgroup_cat2,aaRate10K,count,cRate10K,dailyMean
Hospitalizations,Clinton,2014-2016,"Total	","	","Total	","	",6.055,160,6.56,0.146
Hospitalizations,Columbia,2000-2002,"Total	","	","Total	","	",3.458,65,3.436,0.059
Hospitalizations,Columbia,2000-2016,"Total	","	","Total	","	",7.145,749,7.014,0.121
Hospitalizations,Columbia,2001-2003,"Total	","	","Total	","	",5.039,87,4.593,0.079
Hospitalizations,Columbia,2002-2004,"Total	","	","Total	","	",6.681,115,6.048,0.105
Hospitalizations,Columbia,2003-2005,"Total	","	","Total	","	",7.552,133,6.976,0.121
Hospitalizations,Columbia,2004-2006,"Total	","	","Total	","	",6.591,121,6.342,0.11
Hospitalizations,Columbia,2005-2007,"Total	","	","Total	","	",6.689,122,6.402,0.111
Hospitalizations,Columbia,2006-2008,"Total	","	","Total	","	",6.777,123,6.47,0.112
Hospitalizations,Columbia,2007-2009,"Total	","	","Total	","	",7.806,143,7.538,0.13
Hospitalizations,Columbia,2008-2010,"Total	","	","Total	","	",8.201,153,8.083,0.14
Hospitalizations,Columbia,2009-2011,"Total	","	","Total	","	",8.4,155,8.216,0.142
Hospitalizations,Columbia,2010-2012,"Total	","	","Total	","	",8.678,160,8.502,0.146
Hospitalizations,Columbia,2011-2013,"Total	","	","Total	","	",8.454,161,8.59,0.147
Hospitalizations,Columbia,2012-2014,"Total	","	","Total	","	",9.456,174,9.314,0.159
Hospitalizations,Columbia,2013-2015,"Total	","	","Total	","	",9.544,178,9.582,0.163
Hospitalizations,Columbia,2014-2016,"Total	","	","Total	","	",9.104,161,8.727,0.147
Hospitalizations,Cortland,2000-2002,"Total	","	","Total	","	",12.539,170,11.605,0.155
Hospitalizations,Cortland,2000-2016,"Total	","	","Total	","	",7.92,600,7.184,0.097
Hospitalizations,Cortland,2001-2003,"Total	","	","Total	","	",11.406,155,10.525,0.142
Hospitalizations,Cortland,2002-2004,"Total	","	","Total	","	",10.615,142,9.595,0.13
Hospitalizations,Cortland,2003-2005,"Total	","	","Total	","	",9.252,125,8.421,0.114
Hospitalizations,Cortland,2004-2006,"Total	","	","Total	","	",8.306,109,7.345,0.099
Hospitalizations,Cortland,2005-2007,"Total	","	","Total	","	",8.104,109,7.345,0.1
Hospitalizations,Cortland,2006-2008,"Total	","	","Total	","	",8.109,110,7.402,0.1
Hospitalizations,Cortland,2007-2009,"Total	","	","Total	","	",7.301,102,6.868,0.093
Hospitalizations,Cortland,2008-2010,"Total	","	","Total	","	",6.999,94,6.345,0.086
Hospitalizations,Cortland,2009-2011,"Total	","	","Total	","	",6.222,84,5.672,0.077
Hospitalizations,Cortland,2010-2012,"Total	","	","Total	","	",7.058,91,6.153,0.083
Hospitalizations,Cortland,2011-2013,"Total	","	","Total	","	",6.778,92,6.229,0.084
Hospitalizations,Cortland,2012-2014,"Total	","	","Total	","	",6.09,82,5.576,0.075
Hospitalizations,Cortland,2013-2015,"Total	","	","Total	","	",4.642,65,4.442,0.059
Hospitalizations,Cortland,2014-2016,"Total	","	","Total	","	",3.724,49,3.371,0.045
Hospitalizations,Delaware,2000-2002,"Total	","	","Total	","	",12.059,168,11.724,0.153
Hospitalizations,Delaware,2000-2016,"Total	","	","Total	","	",9.902,800,9.888,0.129
Hospitalizations,Delaware,2001-2003,"Total	","	","Total	","	",13.641,191,13.322,0.174
Hospitalizations,Delaware,2002-2004,"Total	","	","Total	","	",12.789,184,12.789,0.168
Hospitalizations,Delaware,2003-2005,"Total	","	","Total	","	",12.722,184,12.726,0.168
Hospitalizations,Delaware,2004-2006,"Total	","	","Total	","	",11.613,165,11.385,0.151
Hospitalizations,Delaware,2005-2007,"Total	","	","Total	","	",11.704,162,11.165,0.148
Hospitalizations,Delaware,2006-2008,"Total	","	","Total	","	",11.301,160,11.028,0.146
Hospitalizations,Delaware,2007-2009,"Total	","	","Total	","	",10.723,155,10.69,0.141
Hospitalizations,Delaware,2008-2010,"Total	","	","Total	","	",9.308,140,9.694,0.128
Hospitalizations,Delaware,2009-2011,"Total	","	","Total	","	",9.394,143,9.95,0.131
Hospitalizations,Delaware,2010-2012,"Total	","	","Total	","	",8.263,129,9.03,0.118
Hospitalizations,Delaware,2011-2013,"Total	","	","Total	","	",8.923,131,9.235,0.12
Hospitalizations,Delaware,2012-2014,"Total	","	","Total	","	",7.258,109,7.741,0.099
Hospitalizations,Delaware,2013-2015,"Total	","	","Total	","	",6.517,100,7.166,0.091
Hospitalizations,Delaware,2014-2016,"Total	","	","Total	","	",4.583,71,5.138,0.065
Hospitalizations,Dutchess,2000-2002,"Total	","	","Total	","	",10.9,911,10.676,0.831
Hospitalizations,Dutchess,2000-2016,"Total	","	","Total	","	",11.959,5685,11.393,0.915
Hospitalizations,Dutchess,2001-2003,"Total	","	","Total	","	",11.293,948,10.982,0.866
Hospitalizations,Dutchess,2002-2004,"Total	","	","Total	","	",12.073,1013,11.626,0.924
Hospitalizations,Dutchess,2003-2005,"Total	","	","Total	","	",11.879,1001,11.401,0.913
Hospitalizations,Dutchess,2004-2006,"Total	","	","Total	","	",11.865,997,11.305,0.91
Hospitalizations,Dutchess,2005-2007,"Total	","	","Total	","	",11.812,999,11.296,0.912
Hospitalizations,Dutchess,2006-2008,"Total	","	","Total	","	",12.321,1044,11.779,0.953
Hospitalizations,Dutchess,2007-2009,"Total	","	","Total	","	",13.37,1132,12.741,1.033
Hospitalizations,Dutchess,2008-2010,"Total	","	","Total	","	",12.512,1062,11.92,0.969
Hospitalizations,Dutchess,2009-2011,"Total	","	","Total	","	",12.02,1027,11.501,0.938
Hospitalizations,Dutchess,2010-2012,"Total	","	","Total	","	",11.545,996,11.15,0.909
Hospitalizations,Dutchess,2011-2013,"Total	","	","Total	","	",12.568,1065,11.937,0.972
Hospitalizations,Dutchess,2012-2014,"Total	","	","Total	","	",13.429,1126,12.654,1.027
Hospitalizations,Dutchess,2013-2015,"Total	","	","Total	","	",13.117,1075,12.108,0.982
Hospitalizations,Dutchess,2014-2016,"Total	","	","Total	","	",12.034,969,10.942,0.884
Hospitalizations,Erie,2000-2002,"Total	","	","Total	","	",10.451,2956,10.41,2.697
Hospitalizations,Erie,2000-2016,"Total	","	","Total	","	",11.582,17864,11.314,2.877
Hospitalizations,Erie,2001-2003,"Total	","	","Total	","	",11.473,3232,11.413,2.952
Hospitalizations,Erie,2002-2004,"Total	","	","Total	","	",12.199,3406,12.062,3.108
Hospitalizations,Erie,2003-2005,"Total	","	","Total	","	",13.233,3668,13.044,3.347
Hospitalizations,Erie,2004-2006,"Total	","	","Total	","	",13.548,3681,13.167,3.359
Hospitalizations,Erie,2005-2007,"Total	","	","Total	","	",13.46,3619,13.022,3.305
Hospitalizations,Erie,2006-2008,"Total	","	","Total	","	",12.853,3455,12.482,3.152
Hospitalizations,Erie,2007-2009,"Total	","	","Total	","	",13.426,3629,13.14,3.311
Hospitalizations,Erie,2008-2010,"Total	","	","Total	","	",13.647,3671,13.305,3.349
Hospitalizations,Erie,2009-2011,"Total	","	","Total	","	",13.207,3547,12.858,3.239
Hospitalizations,Erie,2010-2012,"Total	","	","Total	","	",11.452,3100,11.231,2.828
Hospitalizations,Erie,2011-2013,"Total	","	","Total	","	",10.194,2796,10.119,2.551
Hospitalizations,Erie,2012-2014,"Total	","	","Total	","	",10.412,2807,10.146,2.561
Hospitalizations,Erie,2013-2015,"Total	","	","Total	","	",9.843,2635,9.517,2.406
Hospitalizations,Erie,2014-2016,"Total	","	","Total	","	",9.51,2452,8.859,2.237
Hospitalizations,Essex,2000-2002,"Total	","	","Total	","	",5.156,60,5.128,0.055
Hospitalizations,Essex,2000-2016,"Total	","	","Total	","	",5.334,385,5.794,0.062
Hospitalizations,Essex,2001-2003,"Total	","	","Total	","	",6.145,74,6.302,0.068
Hospitalizations,Essex,2002-2004,"Total	","	","Total	","	",6.499,79,6.705,0.072
Hospitalizations,Essex,2003-2005,"Total	","	","Total	","	",6.731,83,7.037,0.076
Hospitalizations,Essex,2004-2006,"Total	","	","Total	","	",6.417,81,6.858,0.074
Hospitalizations,Essex,2005-2007,"Total	","	","Total	","	",5.807,78,6.6,0.071
Hospitalizations,Essex,2006-2008,"Total	","	","Total	","	",6.621,90,7.608,0.082
Hospitalizations,Essex,2007-2009,"Total	","	","Total	","	",6.403,88,7.44,0.08
Hospitalizations,Essex,2008-2010,"Total	","	","Total	","	",7.421,97,8.206,0.089
Hospitalizations,Essex,2009-2011,"Total	","	","Total	","	",6.556,85,7.188,0.078
Hospitalizations,Essex,2010-2012,"Total	","	","Total	","	",6.214,76,6.447,0.069
Hospitalizations,Essex,2011-2013,"Total	","	","Total	","	",4.277,55,4.684,0.05
Hospitalizations,Essex,2012-2014,"Total	","	","Total	","	",3.816,49,4.205,0.045
Hospitalizations,Essex,2013-2015,"Total	","	","Total	","	",2.864,42,3.628,0.038
Hospitalizations,Essex,2014-2016,"Total	","	","Total	","	",2.454,35,3.042,0.032
Hospitalizations,Franklin,2000-2002,"Total	","	","Total	","	",10.012,143,9.353,0.13
Hospitalizations,Franklin,2000-2016,"Total	","	","Total	","	",9.194,789,9.051,0.127
Hospitalizations,Franklin,2001-2003,"Total	","	","Total	","	",10.27,146,9.538,0.133
Hospitalizations,Franklin,2002-2004,"Total	","	","Total	","	",10.573,153,9.977,0.14
Hospitalizations,Franklin,2003-2005,"Total	","	","Total	","	",9.968,143,9.305,0.13
Hospitalizations,Franklin,2004-2006,"Total	","	","Total	","	",8.532,125,8.119,0.114
Hospitalizations,Franklin,2005-2007,"Total	","	","Total	","	",8.761,133,8.606,0.121
Hospitalizations,Franklin,2006-2008,"Total	","	","Total	","	",9.518,151,9.729,0.138
Hospitalizations,Franklin,2007-2009,"Total	","	","Total	","	",12.23,195,12.549,0.178
Hospitalizations,Franklin,2008-2010,"Total	","	","Total	","	",13.757,217,13.979,0.198
Hospitalizations,Franklin,2009-2011,"Total	","	","Total	","	",14.087,218,14.074,0.199
Hospitalizations,Franklin,2010-2012,"Total	","	","Total	","	",11.05,168,10.84,0.153
Hospitalizations,Franklin,2011-2013,"Total	","	","Total	","	",8.597,131,8.474,0.12
Hospitalizations,Franklin,2012-2014,"Total	","	","Total	","	",6.604,99,6.423,0.09
Hospitalizations,Franklin,2013-2015,"Total	","	","Total	","	",5.838,89,5.823,0.081
Hospitalizations,Franklin,2014-2016,"Total	","	","Total	","	",4.565,68,4.474,0.062
Hospitalizations,Fulton,2000-2002,"Total	","	","Total	","	",20.816,327,19.834,0.298
Hospitalizations,Fulton,2000-2016,"Total	","	","Total	","	",16.857,1498,16.027,0.241
Hospitalizations,Fulton,2001-2003,"Total	","	","Total	","	",19.618,307,18.609,0.28
Hospitalizations,Fulton,2002-2004,"Total	","	","Total	","	",17.675,284,17.181,0.259
Hospitalizations,Fulton,2003-2005,"Total	","	","Total	","	",19.274,305,18.416,0.278
Hospitalizations,Fulton,2004-2006,"Total	","	","Total	","	",20.094,317,19.112,0.289
Hospitalizations,Fulton,2005-2007,"Total	","	","Total	","	",19.605,307,18.481,0.28
Hospitalizations,Fulton,2006-2008,"Total	","	","Total	","	",18.074,285,17.127,0.26
Hospitalizations,Fulton,2007-2009,"Total	","	","Total	","	",18.269,288,17.284,0.263
Hospitalizations,Fulton,2008-2010,"Total	","	","Total	","	",19.128,302,18.126,0.276
Hospitalizations,Fulton,2009-2011,"Total	","	","Total	","	",19.371,308,18.522,0.281
Hospitalizations,Fulton,2010-2012,"Total	","	","Total	","	",15.819,257,15.504,0.234
Hospitalizations,Fulton,2011-2013,"Total	","	","Total	","	",14.143,225,13.651,0.205
Hospitalizations,Fulton,2012-2014,"Total	","	","Total	","	",12.49,193,11.79,0.176
Hospitalizations,Fulton,2013-2015,"Total	","	","Total	","	",12.003,181,11.13,0.165
Hospitalizations,Fulton,2014-2016,"Total	","	","Total	","	",9.62,142,8.769,0.13
Hospitalizations,Genesee,2000-2002,"Total	","	","Total	","	",8.78,158,8.722,0.144
Hospitalizations,Genesee,2000-2016,"Total	","	","Total	","	",8.173,848,8.341,0.137
Hospitalizations,Genesee,2001-2003,"Total	","	","Total	","	",8.854,163,9.004,0.149
Hospitalizations,Genesee,2002-2004,"Total	","	","Total	","	",8.716,157,8.678,0.143
Hospitalizations,Genesee,2003-2005,"Total	","	","Total	","	",11.047,203,11.234,0.185
Hospitalizations,Genesee,2004-2006,"Total	","	","Total	","	",12.121,221,12.263,0.202
Hospitalizations,Genesee,2005-2007,"Total	","	","Total	","	",12.296,228,12.673,0.208
Hospitalizations,Genesee,2006-2008,"Total	","	","Total	","	",10.636,195,10.849,0.178
Hospitalizations,Genesee,2007-2009,"Total	","	","Total	","	",9.244,171,9.513,0.156
Hospitalizations,Genesee,2008-2010,"Total	","	","Total	","	",8.639,158,8.789,0.144
Hospitalizations,Genesee,2009-2011,"Total	","	","Total	","	",7.841,147,8.176,0.134
Hospitalizations,Genesee,2010-2012,"Total	","	","Total	","	",7.374,141,7.85,0.129
Hospitalizations,Genesee,2011-2013,"Total	","	","Total	","	",6.758,130,7.265,0.119
Hospitalizations,Genesee,2012-2014,"Total	","	","Total	","	",6.021,110,6.181,0.1
Hospitalizations,Genesee,2013-2015,"Total	","	","Total	","	",5.032,88,4.971,0.08
Hospitalizations,Genesee,2014-2016,"Total	","	","Total	","	",3.705,61,3.461,0.056
Hospitalizations,Greene,2000-2002,"Total	","	","Total	","	",4.95,68,4.718,0.062
Hospitalizations,Greene,2000-2016,"Total	","	","Total	","	",7.862,630,7.62,0.101
Hospitalizations,Greene,2001-2003,"Total	","	","Total	","	",7.037,97,6.71,0.089
Hospitalizations,Greene,2002-2004,"Total	","	","Total	","	",7.668,106,7.293,0.097
Hospitalizations,Greene,2003-2005,"Total	","	","Total	","	",9.119,130,8.885,0.119
Hospitalizations,Greene,2004-2006,"Total	","	","Total	","	",8.629,126,8.548,0.115
Hospitalizations,Greene,2005-2007,"Total	","	","Total	","	",8.869,134,9.042,0.122
Hospitalizations,Greene,2006-2008,"Total	","	","Total	","	",9.158,138,9.292,0.126
Hospitalizations,Greene,2007-2009,"Total	","	","Total	","	",9.614,141,9.503,0.129
Hospitalizations,Greene,2008-2010,"Total	","	","Total	","	",10.015,143,9.665,0.13
Hospitalizations,Greene,2009-2011,"Total	","	","Total	","	",9.381,134,9.086,0.122
Hospitalizations,Greene,2010-2012,"Total	","	","Total	","	",9.655,138,9.399,0.126
Hospitalizations,Greene,2011-2013,"Total	","	","Total	","	",9.349,129,8.828,0.118
Hospitalizations,Greene,2012-2014,"Total	","	","Total	","	",7.967,109,7.51,0.099
Hospitalizations,Greene,2013-2015,"Total	","	","Total	","	",6.727,90,6.245,0.082
Hospitalizations,Greene,2014-2016,"Total	","	","Total	","	",5.697,76,5.307,0.069
Hospitalizations,Hamilton,2000-2002,"Total	","	","Total	","	",8.579,14,8.793,0.013
Hospitalizations,Hamilton,2000-2016,"Total	","	","Total	","	",4.784,40,4.75,0.006
Hospitalizations,Hamilton,2001-2003,"Total	","	","Total	","	",9.493,14,8.903,0.013
Hospitalizations,Hamilton,2002-2004,"Total	","	","Total	","	",6.419,9,5.78,0.008
Hospitalizations,Hamilton,2003-2005,"Total	","	","Total	","	",5.892,8,5.184,0.007
Hospitalizations,Hamilton,2004-2006,"Total	","	","Total	","	",6.408,10,6.563,0.009
Hospitalizations,Hamilton,2005-2007,"Total	","	","Total	","	",8.68,12,7.974,0.011
Hospitalizations,Hamilton,2006-2008,"Total	","	","Total	","	",6.456,8,5.388,0.007
Hospitalizations,Hamilton,2007-2009,"Total	","	","Total	","	",5.187,5,3.397,0.005
Hospitalizations,Hamilton,2008-2010,"Total	","	","Total	","	",2.794,4,2.743,0.004
Hospitalizations,Hamilton,2009-2011,"Total	","	","Total	","	",2.617,5,3.442,0.005
Hospitalizations,Hamilton,2010-2012,"Total	","	","Total	","	",3.241,7,4.839,0.006
Hospitalizations,Hamilton,2011-2013,"Total	","	","Total	","	",2.942,6,4.169,0.005
Hospitalizations,Hamilton,2012-2014,"Total	","	","Total	","	",2.07,4,2.808,0.004
Hospitalizations,Hamilton,2013-2015,"Total	","	","Total	","	",0.33,1,0.707,0.001
Hospitalizations,Hamilton,2014-2016,"Total	","	","Total	","	",0.455,1,0.718,0.001
Hospitalizations,Herkimer,2000-2002,"Total	","	","Total	","	",11.86,232,12.04,0.212
Hospitalizations,Herkimer,2000-2016,"Total	","	","Total	","	",8.509,988,9.069,0.159
Hospitalizations,Herkimer,2001-2003,"Total	","	","Total	","	",11.364,222,11.543,0.203
Hospitalizations,Herkimer,2002-2004,"Total	","	","Total	","	",9.949,204,10.604,0.186
Hospitalizations,Herkimer,2003-2005,"Total	","	","Total	","	",9.834,201,10.431,0.183
Hospitalizations,Herkimer,2004-2006,"Total	","	","Total	","	",9.941,208,10.797,0.19
Hospitalizations,Herkimer,2005-2007,"Total	","	","Total	","	",8.765,181,9.395,0.165
Hospitalizations,Herkimer,2006-2008,"Total	","	","Total	","	",8.311,172,8.922,0.157
Hospitalizations,Herkimer,2007-2009,"Total	","	","Total	","	",7.735,156,8.078,0.142
Hospitalizations,Herkimer,2008-2010,"Total	","	","Total	","	",8.423,172,8.902,0.157
Hospitalizations,Herkimer,2009-2011,"Total	","	","Total	","	",7.649,161,8.324,0.147
Hospitalizations,Herkimer,2010-2012,"Total	","	","Total	","	",7.916,172,8.886,0.157
Hospitalizations,Herkimer,2011-2013,"Total	","	","Total	","	",6.627,147,7.606,0.134
Hospitalizations,Herkimer,2012-2014,"Total	","	","Total	","	",8.012,167,8.687,0.152
Hospitalizations,Herkimer,2013-2015,"Total	","	","Total	","	",6.591,137,7.186,0.125
Hospitalizations,Herkimer,2014-2016,"Total	","	","Total	","	",6.043,118,6.239,0.108
Hospitalizations,Jefferson,2000-2002,"Total	","	","Total	","	",11.57,386,11.546,0.352
Hospitalizations,Jefferson,2000-2016,"Total	","	","Total	","	",7.947,1549,7.938,0.249
Hospitalizations,Jefferson,2001-2003,"Total	","	","Total	","	",11.914,394,11.84,0.36
Hospitalizations,Jefferson,2002-2004,"Total	","	","Total	","	",11.94,392,11.833,0.358
Hospitalizations,Jefferson,2003-2005,"Total	","	","Total	","	",11.09,365,10.939,0.333
Hospitalizations,Jefferson,2004-2006,"Total	","	","Total	","	",9.285,305,9.049,0.278
Hospitalizations,Jefferson,2005-2007,"Total	","	","Total	","	",7.698,256,7.481,0.234
Hospitalizations,Jefferson,2006-2008,"Total	","	","Total	","	",7.29,246,7.157,0.224
Hospitalizations,Jefferson,2007-2009,"Total	","	","Total	","	",7.182,246,7.128,0.224
Hospitalizations,Jefferson,2008-2010,"Total	","	","Total	","	",7.071,251,7.241,0.229
Hospitalizations,Jefferson,2009-2011,"Total	","	","Total	","	",6.645,242,6.919,0.221
Hospitalizations,Jefferson,2010-2012,"Total	","	","Total	","	",6.132,230,6.47,0.21
Hospitalizations,Jefferson,2011-2013,"Total	","	","Total	","	",6.193,226,6.313,0.206
Hospitalizations,Jefferson,2012-2014,"Total	","	","Total	","	",6.181,219,6.108,0.2
Hospitalizations,Jefferson,2013-2015,"Total	","	","Total	","	",5.878,202,5.689,0.184
Hospitalizations,Jefferson,2014-2016,"Total	","	","Total	","	",4.858,165,4.714,0.151
Hospitalizations,Kings,2000-2002,"Total	","	","Total	","	",35.008,25613,34.496,23.37
Hospitalizations,Kings,2000-2016,"Total	","	","Total	","	",30.363,127360,29.815,20.509
Hospitalizations,Kings,2001-2003,"Total	","	","Total	","	",36.138,26418,35.552,24.126
Hospitalizations,Kings,2002-2004,"Total	","	","Total	","	",36.085,26273,35.443,23.972
Hospitalizations,Kings,2003-2005,"Total	","	","Total	","	",35.717,25817,34.992,23.556
Hospitalizations,Kings,2004-2006,"Total	","	","Total	","	",33.817,24251,33.035,22.127
Hospitalizations,Kings,2005-2007,"Total	","	","Total	","	",32.555,23270,31.775,21.251
Hospitalizations,Kings,2006-2008,"Total	","	","Total	","	",32.068,22966,31.298,20.954
Hospitalizations,Kings,2007-2009,"Total	","	","Total	","	",32.437,23396,31.661,21.347
Hospitalizations,Kings,2008-2010,"Total	","	","Total	","	",32.276,23491,31.496,21.433
Hospitalizations,Kings,2009-2011,"Total	","	","Total	","	",31.697,23362,30.977,21.335
Hospitalizations,Kings,2010-2012,"Total	","	","Total	","	",30.081,22481,29.479,20.512
Hospitalizations,Kings,2011-2013,"Total	","	","Total	","	",28.928,21943,28.456,20.021
Hospitalizations,Kings,2012-2014,"Total	","	","Total	","	",27.369,20999,26.99,19.16
Hospitalizations,Kings,2013-2015,"Total	","	","Total	","	",23.912,18507,23.627,16.901
Hospitalizations,Kings,2014-2016,"Total	","	","Total	","	",19.47,15086,19.177,13.765
Hospitalizations,Lewis,2000-2002,"Total	","	","Total	","	",10.301,83,10.303,0.076
Hospitalizations,Lewis,2000-2016,"Total	","	","Total	","	",7.796,376,8.203,0.061
Hospitalizations,Lewis,2001-2003,"Total	","	","Total	","	",12.002,96,11.961,0.088
Hospitalizations,Lewis,2002-2004,"Total	","	","Total	","	",10.627,85,10.629,0.078
Hospitalizations,Lewis,2003-2005,"Total	","	","Total	","	",10.181,83,10.359,0.076
Hospitalizations,Lewis,2004-2006,"Total	","	","Total	","	",8.005,67,8.33,0.061
Hospitalizations,Lewis,2005-2007,"Total	","	","Total	","	",6.333,55,6.802,0.05
Hospitalizations,Lewis,2006-2008,"Total	","	","Total	","	",7.158,61,7.534,0.056
Hospitalizations,Lewis,2007-2009,"Total	","	","Total	","	",6.638,57,7.036,0.052
Hospitalizations,Lewis,2008-2010,"Total	","	","Total	","	",7.402,63,7.779,0.057
Hospitalizations,Lewis,2009-2011,"Total	","	","Total	","	",6.898,61,7.513,0.056
Hospitalizations,Lewis,2010-2012,"Total	","	","Total	","	",8.266,72,8.843,0.066
Hospitalizations,Lewis,2011-2013,"Total	","	","Total	","	",7.648,69,8.464,0.063
Hospitalizations,Lewis,2012-2014,"Total	","	","Total	","	",7.327,66,8.083,0.06
Hospitalizations,Lewis,2013-2015,"Total	","	","Total	","	",5.36,51,6.265,0.047
Hospitalizations,Lewis,2014-2016,"Total	","	","Total	","	",4.549,41,5.055,0.037
Hospitalizations,Livingston,2000-2002,"Total	","	","Total	","	",10.232,183,9.389,0.167
Hospitalizations,Livingston,2000-2016,"Total	","	","Total	","	",7.309,767,6.935,0.124
Hospitalizations,Livingston,2001-2003,"Total	","	","Total	","	",10.389,185,9.471,0.169
Hospitalizations,Livingston,2002-2004,"Total	","	","Total	","	",9.106,167,8.532,0.152
Hospitalizations,Livingston,2003-2005,"Total	","	","Total	","	",8.033,151,7.707,0.138
Hospitalizations,Livingston,2004-2006,"Total	","	","Total	","	",7.543,144,7.341,0.131
Hospitalizations,Livingston,2005-2007,"Total	","	","Total	","	",8.181,153,7.801,0.14
Hospitalizations,Livingston,2006-2008,"Total	","	","Total	","	",7.582,142,7.228,0.13
Hospitalizations,Livingston,2007-2009,"Total	","	","Total	","	",8.125,152,7.735,0.139
Hospitalizations,Livingston,2008-2010,"Total	","	","Total	","	",7.555,142,7.234,0.13
Hospitalizations,Livingston,2009-2011,"Total	","	","Total	","	",7.914,145,7.415,0.132
Hospitalizations,Livingston,2010-2012,"Total	","	","Total	","	",6.75,125,6.411,0.114
Hospitalizations,Livingston,2011-2013,"Total	","	","Total	","	",6.229,116,5.965,0.106
Hospitalizations,Livingston,2012-2014,"Total	","	","Total	","	",5.26,101,5.199,0.092
Hospitalizations,Livingston,2013-2015,"Total	","	","Total	","	",4.295,82,4.227,0.075
Hospitalizations,Livingston,2014-2016,"Total	","	","Total	","	",3.874,71,3.669,0.065
Hospitalizations,Madison,2000-2002,"Total	","	","Total	","	",12.363,249,11.882,0.227
Hospitalizations,Madison,2000-2016,"Total	","	","Total	","	",9.342,1106,9.056,0.178
Hospitalizations,Madison,2001-2003,"Total	","	","Total	","	",12.134,251,11.889,0.229
Hospitalizations,Madison,2002-2004,"Total	","	","Total	","	",12.284,254,11.943,0.232
Hospitalizations,Madison,2003-2005,"Total	","	","Total	","	",11.098,232,10.847,0.212
Hospitalizations,Madison,2004-2006,"Total	","	","Total	","	",9.824,206,9.585,0.188
Hospitalizations,Madison,2005-2007,"Total	","	","Total	","	",8.931,189,8.741,0.173
Hospitalizations,Madison,2006-2008,"Total	","	","Total	","	",9.13,194,8.906,0.177
Hospitalizations,Madison,2007-2009,"Total	","	","Total	","	",8.945,190,8.678,0.173
Hospitalizations,Madison,2008-2010,"Total	","	","Total	","	",9.274,198,9.013,0.181
Hospitalizations,Madison,2009-2011,"Total	","	","Total	","	",9.353,197,8.972,0.18
Hospitalizations,Madison,2010-2012,"Total	","	","Total	","	",9.511,200,9.137,0.182
Hospitalizations,Madison,2011-2013,"Total	","	","Total	","	",9.301,192,8.807,0.175
Hospitalizations,Madison,2012-2014,"Total	","	","Total	","	",8.809,178,8.19,0.162
Hospitalizations,Madison,2013-2015,"Total	","	","Total	","	",7.279,147,6.786,0.134
Hospitalizations,Madison,2014-2016,"Total	","	","Total	","	",5.486,108,5.014,0.099
Hospitalizations,Monroe,2000-2002,"Total	","	","Total	","	",10.854,2412,10.864,2.201
Hospitalizations,Monroe,2000-2016,"Total	","	","Total	","	",10.519,13379,10.583,2.154
Hospitalizations,Monroe,2001-2003,"Total	","	","Total	","	",11.23,2498,11.237,2.281
Hospitalizations,Monroe,2002-2004,"Total	","	","Total	","	",11.107,2479,11.146,2.262
Hospitalizations,Monroe,2003-2005,"Total	","	","Total	","	",11.043,2468,11.111,2.252
Hospitalizations,Monroe,2004-2006,"Total	","	","Total	","	",10.787,2410,10.866,2.199
Hospitalizations,Monroe,2005-2007,"Total	","	","Total	","	",10.832,2418,10.911,2.208
Hospitalizations,Monroe,2006-2008,"Total	","	","Total	","	",10.921,2447,11.029,2.233
Hospitalizations,Monroe,2007-2009,"Total	","	","Total	","	",11.414,2564,11.531,2.339
Hospitalizations,Monroe,2008-2010,"Total	","	","Total	","	",11.513,2589,11.613,2.362
Hospitalizations,Monroe,2009-2011,"Total	","	","Total	","	",11.307,2548,11.395,2.327
Hospitalizations,Monroe,2010-2012,"Total	","	","Total	","	",10.832,2455,10.952,2.24
Hospitalizations,Monroe,2011-2013,"Total	","	","Total	","	",10.459,2364,10.521,2.157
Hospitalizations,Monroe,2012-2014,"Total	","	","Total	","	",10.179,2304,10.243,2.102
Hospitalizations,Monroe,2013-2015,"Total	","	","Total	","	",9.518,2162,9.611,1.974
Hospitalizations,Monroe,2014-2016,"Total	","	","Total	","	",8.713,1950,8.679,1.779
Hospitalizations,Montgomery,2000-2002,"Total	","	","Total	","	",10.447,148,9.975,0.135
Hospitalizations,Montgomery,2000-2016,"Total	","	","Total	","	",10.496,879,10.405,0.142
Hospitalizations,Montgomery,2001-2003,"Total	","	","Total	","	",12.413,173,11.672,0.158
Hospitalizations,Montgomery,2002-2004,"Total	","	","Total	","	",12.414,176,11.875,0.161
Hospitalizations,Montgomery,2003-2005,"Total	","	","Total	","	",13.443,194,13.072,0.177
Hospitalizations,Montgomery,2004-2006,"Total	","	","Total	","	",12.213,182,12.24,0.166
Hospitalizations,Montgomery,2005-2007,"Total	","	","Total	","	",11.878,177,11.877,0.162
Hospitalizations,Montgomery,2006-2008,"Total	","	","Total	","	",11.702,174,11.641,0.159
Hospitalizations,Montgomery,2007-2009,"Total	","	","Total	","	",10.852,159,10.618,0.145
Hospitalizations,Montgomery,2008-2010,"Total	","	","Total	","	",10.487,156,10.384,0.142
Hospitalizations,Montgomery,2009-2011,"Total	","	","Total	","	",10.718,160,10.651,0.146
Hospitalizations,Montgomery,2010-2012,"Total	","	","Total	","	",10.951,165,10.995,0.151
